Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
279,0.043594,2056
280,0.043750,3335
281,0.043906,3079
282,0.044062,2823
283,0.044219,776
284,0.044375,3079
285,0.044531,2311
286,0.044687,2824
287,0.044844,3336
288,0.045000,3079
289,0.045156,3079
290,0.045312,1287
291,0.045469,2310
292,0.045625,3079
293,0.045781,2056
294,0.045937,2824
295,0.046094,3848
296,0.046250,3848
297,0.046406,776
298,0.046562,1799
299,0.046719,3079
300,0.046875,2823
301,0.047031,2311
302,0.047188,2311
303,0.047344,2056
304,0.047500,3846
305,0.047656,264
306,0.047813,1288
307,0.047969,2055
308,0.048125,2311
309,0.048281,3336
310,0.048438,3079
311,0.048594,2311
312,0.048750,2824
313,0.048906,1544
314,0.049063,3335
315,0.049219,1031
316,0.049375,3336
317,0.049531,1799
318,0.049688,2310
319,0.049844,3079
320,0.050000,1288
321,0.050156,1800
322,0.050313,1287
323,0.050469,1031
324,0.050625,1799
325,0.050781,1031
326,0.050937,2055
327,0.051094,1287
328,0.051250,2311
329,0.051406,2311
330,0.051562,1032
331,0.051719,1287
332,0.051875,3335
333,0.052031,3080
334,0.052187,1798
335,0.052344,2824
336,0.052500,1031
337,0.052656,2823
338,0.052812,3591
339,0.052969,2823
340,0.053125,2567
341,0.053281,3336
342,0.053437,3847
343,0.053594,2822
344,0.053750,2824
345,0.053906,2311
346,0.054062,775
347,0.054219,3848
348,0.054375,519
349,0.054531,2312
350,0.054688,1287
351,0.054844,263
352,0.055000,2823
353,0.055156,2312
354,0.055313,2823
355,0.055469,3848
356,0.055625,2822
357,0.055781,1286
358,0.055938,2055
359,0.056094,3335
360,0.056250,3336
361,0.056406,3079
362,0.056563,3336
363,0.056719,2054
364,0.056875,3336
365,0.057031,3847
366,0.057188,1800
367,0.057344,1031
368,0.057500,3335
369,0.057656,3847
370,0.057813,3336
371,0.057969,1031
372,0.058125,3079
373,0.058281,3336
374,0.058438,3334
375,0.058594,1800
376,0.058750,2312
377,0.058906,3847
378,0.059062,2824
379,0.059219,2823
380,0.059375,3335
381,0.059531,2567
