Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
1353,0.211406,2311
1354,0.211562,2568
1355,0.211719,2055
1356,0.211875,1288
1357,0.212031,3847
1358,0.212188,2823
1359,0.212344,3336
1360,0.212500,2312
1361,0.212656,1799
1362,0.212812,2824
1363,0.212969,263
1364,0.213125,3335
1365,0.213281,2312
1366,0.213438,3335
1367,0.213594,775
1368,0.213750,2055
1369,0.213906,3336
1370,0.214062,2311
1371,0.214219,1287
1372,0.214375,2312
1373,0.214531,775
1374,0.214688,1288
1375,0.214844,2824
1376,0.215000,2055
1377,0.215156,1800
1378,0.215312,3335
1379,0.215469,3336
1380,0.215625,1288
1381,0.215781,3080
1382,0.215938,1799
1383,0.216094,3079
1384,0.216250,1287
1385,0.216406,2823
1386,0.216562,1287
1387,0.216719,3335
1388,0.216875,2311
1389,0.217031,2823
1390,0.217188,3336
1391,0.217344,3847
1392,0.217500,3847
1393,0.217656,3335
1394,0.217812,2056
1395,0.217969,3592
1396,0.218125,776
1397,0.218281,1286
1398,0.218438,3334
1399,0.218594,1031
1400,0.218750,519
1401,0.218906,1287
1402,0.219062,1287
1403,0.219219,2056
1404,0.219375,1799
1405,0.219531,3334
1406,0.219688,2312
1407,0.219844,1286
1408,0.220000,3846
1409,0.220156,3080
1410,0.220312,2312
1411,0.220469,775
1412,0.220625,1287
1413,0.220781,1799
1414,0.220938,3079
1415,0.221094,1288
1416,0.221250,3079
1417,0.221406,3592
1418,0.221562,2824
1419,0.221719,2567
1420,0.221875,2823
1421,0.222031,3335
1422,0.222188,1287
1423,0.222344,3080
1424,0.222500,1287
1425,0.222656,3335
1426,0.222812,2312
1427,0.222969,1800
1428,0.223125,1800
1429,0.223281,263
1430,0.223438,2312
1431,0.223594,2311
1432,0.223750,1287
1433,0.223906,1287
1434,0.224062,1288
1435,0.224219,3847
1436,0.224375,1287
1437,0.224531,1799
1438,0.224688,1799
1439,0.224844,1287
1440,0.225000,263
1441,0.225156,3335
1442,0.225312,3847
1443,0.225469,775
1444,0.225625,1287
1445,0.225781,1288
1446,0.225938,2055
1447,0.226094,3336
1448,0.226250,3335
1449,0.226406,1544
1450,0.226562,2312
1451,0.226719,775
1452,0.226875,1800
1453,0.227031,1030
1454,0.227187,1288
1455,0.227344,3335
1456,0.227500,1032
1457,0.227656,2312
1458,0.227813,2055
1459,0.227969,2824
1460,0.228125,3080
1461,0.228281,3079
1462,0.228437,775
1463,0.228594,2310
1464,0.228750,2311
1465,0.228906,775
1466,0.229063,1287
1467,0.229219,3847
1468,0.229375,2311
1469,0.229531,2055
1470,0.229687,3079
1471,0.229844,1286
1472,0.230000,1032
1473,0.230156,2056
1474,0.230313,2823
1475,0.230469,1032
1476,0.230625,775
1477,0.230781,1800
1478,0.230937,1287
1479,0.231094,3847
1480,0.231250,263
1481,0.231406,3335
1482,0.231563,3079
1483,0.231719,1288
1484,0.231875,2823
1485,0.232031,3335
1486,0.232187,2311
1487,0.232344,2055
1488,0.232500,3335
1489,0.232656,3080
1490,0.232813,2312
1491,0.232969,2823
1492,0.233125,2311
1493,0.233281,776
1494,0.233437,1544
1495,0.233594,1287
1496,0.233750,3336
1497,0.233906,3335
1498,0.234063,1543
1499,0.234219,2312
1500,0.234375,3335
1501,0.234531,775
1502,0.234687,2056
1503,0.234844,1287
1504,0.235000,1800
1505,0.235156,775
1506,0.235313,1288
1507,0.235469,1544
1508,0.235625,3079
1509,0.235781,2568
1510,0.235937,776
1511,0.236094,1288
1512,0.236250,1288
1513,0.236406,775
1514,0.236563,3848
1515,0.236719,2311
1516,0.236875,2824
1517,0.237031,1032
1518,0.237187,1288
1519,0.237344,2311
1520,0.237500,3848
1521,0.237656,2824
1522,0.237813,1287
1523,0.237969,3335
1524,0.238125,2311
1525,0.238281,3079
1526,0.238437,1288
1527,0.238594,3335
1528,0.238750,1800
1529,0.238906,1800
1530,0.239063,776
1531,0.239219,1031
1532,0.239375,2312
1533,0.239531,2311
1534,0.239687,1031
1535,0.239844,3080
1536,0.240000,3079
1537,0.240156,3335
1538,0.240313,2824
1539,0.240469,2055
1540,0.240625,2056
1541,0.240781,2823
1542,0.240937,2823
1543,0.241094,2055
1544,0.241250,263
1545,0.241406,2312
1546,0.241563,1799
1547,0.241719,3080
1548,0.241875,3079
1549,0.242031,2567
1550,0.242188,775
1551,0.242344,1799
1552,0.242500,2055
1553,0.242656,1287
1554,0.242812,2055
1555,0.242969,3079
1556,0.243125,2823
1557,0.243281,2568
1558,0.243438,3592
1559,0.243594,2823
1560,0.243750,2312
1561,0.243906,2055
1562,0.244062,264
1563,0.244219,2312
1564,0.244375,1031
1565,0.244531,1287
1566,0.244688,1287
1567,0.244844,776
1568,0.245000,3334
1569,0.245156,1799
1570,0.245312,3847
1571,0.245469,2823
1572,0.245625,2311
1573,0.245781,1287
1574,0.245938,2312
1575,0.246094,1031
1576,0.246250,2823
1577,0.246406,3336
1578,0.246562,2567
1579,0.246719,2056
1580,0.246875,2311
1581,0.247031,3336
1582,0.247188,2567
1583,0.247344,3080
1584,0.247500,1032
1585,0.247656,1032
1586,0.247812,2823
1587,0.247969,1287
1588,0.248125,3336
1589,0.248281,2056
1590,0.248438,3335
1591,0.248594,3079
1592,0.248750,3847
1593,0.248906,1799
1594,0.249062,3335
1595,0.249219,2311
1596,0.249375,775
1597,0.249531,1287
1598,0.249688,1288
1599,0.249844,1800
1600,0.250000,2311
1601,0.250156,2823
1602,0.250312,1799
1603,0.250469,1800
1604,0.250625,3847
1605,0.250781,2311
1606,0.250937,776
1607,0.251094,3334
1608,0.251250,2311
1609,0.251406,3847
1610,0.251563,1287
1611,0.251719,776
1612,0.251875,2055
1613,0.252031,1288
1614,0.252188,2312
1615,0.252344,1544
1616,0.252500,1799
1617,0.252656,2311
1618,0.252812,3848
1619,0.252969,3336
1620,0.253125,1288
1621,0.253281,2311
1622,0.253437,775
1623,0.253594,3846
1624,0.253750,2311
1625,0.253906,2311
1626,0.254063,263
1627,0.254219,1031
1628,0.254375,2311
1629,0.254531,3336
1630,0.254688,2311
1631,0.254844,1799
1632,0.255000,3335
1633,0.255156,2311
1634,0.255312,2311
1635,0.255469,776
1636,0.255625,3078
1637,0.255781,1543
1638,0.255937,2310
1639,0.256094,263
1640,0.256250,3336
1641,0.256406,1032
1642,0.256563,2568
1643,0.256719,3335
1644,0.256875,3080
1645,0.257031,1287
1646,0.257188,2056
1647,0.257344,776
1648,0.257500,1287
1649,0.257656,2055
1650,0.257812,1287
1651,0.257969,776
1652,0.258125,3080
1653,0.258281,2312
1654,0.258437,1287
1655,0.258594,2311
1656,0.258750,1287
1657,0.258906,1800
1658,0.259062,3080
1659,0.259219,1287
1660,0.259375,1031
1661,0.259531,1288
1662,0.259688,2312
1663,0.259844,1288
1664,0.260000,3334
1665,0.260156,1287
1666,0.260313,2055
1667,0.260469,1288
1668,0.260625,2055
1669,0.260781,2055
1670,0.260937,3336
1671,0.261094,3847
1672,0.261250,3335
1673,0.261406,1032
1674,0.261562,263
1675,0.261719,776
1676,0.261875,2824
1677,0.262031,2312
1678,0.262188,3848
1679,0.262344,3847
1680,0.262500,2310
1681,0.262656,2312
1682,0.262813,3336
1683,0.262969,2567
1684,0.263125,775
1685,0.263281,775
1686,0.263437,1287
1687,0.263594,2312
1688,0.263750,2822
1689,0.263906,2822
1690,0.264062,263
1691,0.264219,1287
1692,0.264375,1543
1693,0.264531,1286
1694,0.264688,3849
1695,0.264844,3080
1696,0.265000,2311
1697,0.265156,3590
1698,0.265313,1800
1699,0.265469,2824
1700,0.265625,3079
1701,0.265781,1033
1702,0.265937,774
1703,0.266094,775
1704,0.266250,3335
1705,0.266406,2312
1706,0.266562,2312
1707,0.266719,2055
1708,0.266875,2312
1709,0.267031,1797
1710,0.267188,3336
1711,0.267344,2823
1712,0.267500,1800
1713,0.267656,1799
1714,0.267813,3847
1715,0.267969,2310
1716,0.268125,1800
1717,0.268281,1800
1718,0.268437,3334
1719,0.268594,3847
1720,0.268750,3079
1721,0.268906,1287
1722,0.269062,1287
1723,0.269219,2823
1724,0.269375,1799
1725,0.269531,3336
1726,0.269688,1288
1727,0.269844,3335
1728,0.270000,1288
1729,0.270156,3334
1730,0.270313,775
1731,0.270469,1288
1732,0.270625,3335
1733,0.270781,3335
1734,0.270937,2310
1735,0.271094,3079
1736,0.271250,2311
1737,0.271406,3847
1738,0.271562,2055
1739,0.271719,1287
1740,0.271875,3335
1741,0.272031,2823
1742,0.272188,1798
1743,0.272344,520
1744,0.272500,777
1745,0.272656,3335
1746,0.272813,1287
1747,0.272969,3335
1748,0.273125,2568
1749,0.273281,1287
1750,0.273438,2311
1751,0.273594,3079
1752,0.273750,3591
1753,0.273906,1799
1754,0.274062,1287
1755,0.274219,1799
1756,0.274375,1800
1757,0.274531,2312
1758,0.274687,3848
1759,0.274844,1288
1760,0.275000,2056
1761,0.275156,2055
1762,0.275313,3848
1763,0.275469,3848
1764,0.275625,3335
1765,0.275781,3079
1766,0.275938,1031
1767,0.276094,3336
1768,0.276250,263
1769,0.276406,2823
1770,0.276562,1799
1771,0.276719,3336
1772,0.276875,2311
1773,0.277031,2311
1774,0.277187,1031
1775,0.277344,2056
1776,0.277500,2823
1777,0.277656,2055
1778,0.277813,2311
1779,0.277969,1288
1780,0.278125,3336
1781,0.278281,1288
1782,0.278438,3334
1783,0.278594,2312
1784,0.278750,2056
1785,0.278906,1288
1786,0.279062,3336
1787,0.279219,1287
1788,0.279375,776
1789,0.279531,2568
1790,0.279687,2311
1791,0.279844,1288
1792,0.280000,2824
1793,0.280156,263
1794,0.280313,3847
1795,0.280469,2055
1796,0.280625,775
1797,0.280781,2312
1798,0.280938,1287
1799,0.281094,1031
1800,0.281250,1799
1801,0.281406,3335
1802,0.281562,2312
1803,0.281719,3078
1804,0.281875,3335
1805,0.282031,3079
1806,0.282187,2056
1807,0.282344,1287
1808,0.282500,1799
1809,0.282656,2311
1810,0.282813,1287
1811,0.282969,3335
1812,0.283125,263
1813,0.283281,1032
1814,0.283438,2311
1815,0.283594,1288
1816,0.283750,1287
1817,0.283906,2823
1818,0.284062,2056
1819,0.284219,3847
1820,0.284375,3079
1821,0.284531,3335
1822,0.284687,1799
1823,0.284844,2312
1824,0.285000,2823
1825,0.285156,1544
1826,0.285313,3079
1827,0.285469,2056
1828,0.285625,776
1829,0.285781,1288
1830,0.285938,3847
1831,0.286094,1032
1832,0.286250,1287
1833,0.286406,3335
1834,0.286562,2055
1835,0.286719,1288
1836,0.286875,3079
1837,0.287031,1799
1838,0.287187,2823
1839,0.287344,2312
1840,0.287500,263
1841,0.287656,263
1842,0.287813,3848
1843,0.287969,1287
1844,0.288125,1031
1845,0.288281,3080
1846,0.288438,1800
1847,0.288594,2823
1848,0.288750,3848
1849,0.288906,1287
1850,0.289062,1799
1851,0.289219,1031
1852,0.289375,3079
1853,0.289531,2312
1854,0.289687,2823
1855,0.289844,2312
1856,0.290000,2056
1857,0.290156,2055
1858,0.290312,3336
1859,0.290469,3334
1860,0.290625,1288
1861,0.290781,2311
1862,0.290938,2311
1863,0.291094,775
1864,0.291250,2312
1865,0.291406,3335
1866,0.291563,2823
1867,0.291719,3847
1868,0.291875,3079
1869,0.292031,3335
1870,0.292187,2312
1871,0.292344,2823
1872,0.292500,1799
1873,0.292656,3335
1874,0.292812,3335
1875,0.292969,1031
1876,0.293125,3336
1877,0.293281,1287
1878,0.293438,3335
1879,0.293594,776
1880,0.293750,3335
1881,0.293906,3848
1882,0.294063,2312
1883,0.294219,1800
1884,0.294375,1288
1885,0.294531,3335
1886,0.294687,2823
1887,0.294844,3079
1888,0.295000,2312
1889,0.295156,3847
1890,0.295312,2311
1891,0.295469,2311
1892,0.295625,2055
1893,0.295781,1288
1894,0.295938,2312
1895,0.296094,2312
1896,0.296250,776
1897,0.296406,1287
1898,0.296563,2311
1899,0.296719,1287
1900,0.296875,2056
1901,0.297031,2312
1902,0.297187,775
1903,0.297344,1288
1904,0.297500,1544
1905,0.297656,1287
1906,0.297812,1287
1907,0.297969,3847
1908,0.298125,3848
1909,0.298281,1544
1910,0.298438,3079
1911,0.298594,3336
1912,0.298750,2823
1913,0.298906,1288
1914,0.299063,775
1915,0.299219,774
1916,0.299375,3335
1917,0.299531,1800
1918,0.299687,2312
1919,0.299844,1287
1920,0.300000,775
1921,0.300156,1799
1922,0.300312,3848
1923,0.300469,1542
1924,0.300625,1287
1925,0.300781,1287
1926,0.300938,1031
1927,0.301094,2056
1928,0.301250,3335
1929,0.301406,775
1930,0.301563,1287
1931,0.301719,3335
1932,0.301875,3335
1933,0.302031,2823
1934,0.302187,3336
1935,0.302344,2311
1936,0.302500,3080
1937,0.302656,1286
1938,0.302812,2311
1939,0.302969,3335
1940,0.303125,3079
1941,0.303281,262
1942,0.303438,3079
1943,0.303594,3079
1944,0.303750,3335
1945,0.303906,2056
1946,0.304063,1286
1947,0.304219,1288
1948,0.304375,263
1949,0.304531,1288
1950,0.304688,1032
1951,0.304844,774
1952,0.305000,2311
1953,0.305156,2055
1954,0.305312,2312
1955,0.305469,1287
1956,0.305625,3080
1957,0.305781,1287
1958,0.305937,2311
1959,0.306094,2823
1960,0.306250,2824
1961,0.306406,1032
1962,0.306563,1288
1963,0.306719,2567
1964,0.306875,3336
1965,0.307031,1799
1966,0.307188,1800
1967,0.307344,3335
1968,0.307500,3078
1969,0.307656,1800
1970,0.307812,264
1971,0.307969,2313
1972,0.308125,3847
1973,0.308281,1287
1974,0.308437,3335
1975,0.308594,263
1976,0.308750,3080
1977,0.308906,2823
1978,0.309063,3079
1979,0.309219,1799
1980,0.309375,3336
1981,0.309531,1800
1982,0.309688,2312
1983,0.309844,3335
1984,0.310000,3336
1985,0.310156,2312
1986,0.310312,1030
1987,0.310469,2312
1988,0.310625,1032
1989,0.310781,3335
1990,0.310937,3079
1991,0.311094,1544
1992,0.311250,775
1993,0.311406,3335
1994,0.311563,3336
1995,0.311719,1287
1996,0.311875,1288
1997,0.312031,1800
1998,0.312188,3336
1999,0.312344,1799
2000,0.312500,2311
2001,0.312656,3079
2002,0.312812,3336
2003,0.312969,2055
2004,0.313125,1287
2005,0.313281,2823
2006,0.313437,3335
2007,0.313594,3335
2008,0.313750,263
2009,0.313906,2311
2010,0.314063,3336
2011,0.314219,1287
2012,0.314375,776
2013,0.314531,2823
2014,0.314688,3847
2015,0.314844,2312
2016,0.315000,1031
2017,0.315156,776
2018,0.315312,1287
2019,0.315469,1799
2020,0.315625,1032
2021,0.315781,1798
2022,0.315937,775
2023,0.316094,1800
2024,0.316250,1031
2025,0.316406,2311
2026,0.316563,1031
2027,0.316719,1287
2028,0.316875,3336
2029,0.317031,3335
2030,0.317188,3335
2031,0.317344,3080
2032,0.317500,1543
2033,0.317656,1032
2034,0.317812,3078
2035,0.317969,1031
2036,0.318125,1287
2037,0.318281,2568
2038,0.318437,2056
2039,0.318594,2311
2040,0.318750,1800
2041,0.318906,3335
2042,0.319063,2824
2043,0.319219,2311
2044,0.319375,264
2045,0.319531,2055
2046,0.319688,2311
2047,0.319844,2056
2048,0.320000,3848
2049,0.320156,2311
2050,0.320312,2312
2051,0.320469,1030
2052,0.320625,1031
2053,0.320781,2823
2054,0.320937,2824
2055,0.321094,1798
2056,0.321250,1288
2057,0.321406,3336
2058,0.321562,263
2059,0.321719,3335
2060,0.321875,1799
2061,0.322031,1800
2062,0.322188,3079
2063,0.322344,3335
2064,0.322500,2312
2065,0.322656,2055
2066,0.322813,776
2067,0.322969,2823
2068,0.323125,3335
2069,0.323281,2823
2070,0.323437,2310
2071,0.323594,1544
2072,0.323750,1543
2073,0.323906,2310
2074,0.324062,3335
2075,0.324219,3079
2076,0.324375,1287
2077,0.324531,264
2078,0.324688,1287
2079,0.324844,1800
2080,0.325000,2312
2081,0.325156,3335
2082,0.325313,776
2083,0.325469,3079
2084,0.325625,2823
2085,0.325781,2823
2086,0.325937,2311
2087,0.326094,1799
2088,0.326250,263
2089,0.326406,1543
2090,0.326562,3336
2091,0.326719,3079
2092,0.326875,1031
2093,0.327031,3335
2094,0.327188,1288
2095,0.327344,1031
2096,0.327500,2824
2097,0.327656,1799
2098,0.327813,3334
2099,0.327969,3336
2100,0.328125,3336
2101,0.328281,3080
2102,0.328437,2823
2103,0.328594,3080
2104,0.328750,1800
2105,0.328906,2311
2106,0.329062,1286
2107,0.329219,1287
2108,0.329375,3078
2109,0.329531,1287
2110,0.329688,1288
2111,0.329844,2054
2112,0.330000,2311
2113,0.330156,2823
2114,0.330313,1543
2115,0.330469,3079
2116,0.330625,2311
2117,0.330781,2823
2118,0.330937,3336
2119,0.331094,2056
2120,0.331250,2824
2121,0.331406,1288
2122,0.331562,3335
2123,0.331719,262
2124,0.331875,3079
2125,0.332031,263
2126,0.332188,1286
2127,0.332344,1799
2128,0.332500,1800
2129,0.332656,1543
2130,0.332813,1800
2131,0.332969,775
2132,0.333125,776
2133,0.333281,775
2134,0.333437,2311
2135,0.333594,2311
2136,0.333750,1287
2137,0.333906,1031
2138,0.334062,2312
2139,0.334219,776
2140,0.334375,1287
2141,0.334531,1799
2142,0.334688,3335
2143,0.334844,2311
2144,0.335000,3079
2145,0.335156,2055
2146,0.335313,775
2147,0.335469,3336
2148,0.335625,1287
2149,0.335781,3335
2150,0.335938,2055
2151,0.336094,2824
2152,0.336250,2311
2153,0.336406,3592
2154,0.336562,2312
2155,0.336719,2312
2156,0.336875,2823
2157,0.337031,1544
2158,0.337187,1288
2159,0.337344,1031
2160,0.337500,3080
2161,0.337656,2055
2162,0.337813,3847
2163,0.337969,1543
2164,0.338125,1287
2165,0.338281,3335
2166,0.338438,3080
2167,0.338594,1288
2168,0.338750,1287
2169,0.338906,776
2170,0.339062,2312
2171,0.339219,3336
2172,0.339375,3847
2173,0.339531,3848
2174,0.339687,3847
2175,0.339844,1287
2176,0.340000,1031
2177,0.340156,3335
2178,0.340313,1031
2179,0.340469,263
2180,0.340625,1288
2181,0.340781,3335
2182,0.340938,774
2183,0.341094,2055
2184,0.341250,1287
2185,0.341406,3079
2186,0.341562,1031
2187,0.341719,3080
2188,0.341875,1287
2189,0.342031,3080
2190,0.342187,1032
2191,0.342344,2055
2192,0.342500,2311
2193,0.342656,263
2194,0.342813,2310
2195,0.342969,2311
2196,0.343125,3335
2197,0.343281,1287
2198,0.343438,2055
2199,0.343594,1799
2200,0.343750,3847
2201,0.343906,3847
2202,0.344062,3336
2203,0.344219,1543
2204,0.344375,2823
2205,0.344531,1799
2206,0.344687,3335
2207,0.344844,3335
2208,0.345000,2824
2209,0.345156,2311
2210,0.345313,3080
2211,0.345469,2312
2212,0.345625,1288
2213,0.345781,2055
2214,0.345938,1288
2215,0.346094,3848
2216,0.346250,1288
2217,0.346406,2823
2218,0.346562,775
2219,0.346719,775
2220,0.346875,2311
2221,0.347031,2311
2222,0.347187,775
2223,0.347344,775
2224,0.347500,2824
2225,0.347656,1031
2226,0.347813,3336
2227,0.347969,1288
2228,0.348125,2824
2229,0.348281,3336
2230,0.348438,1799
2231,0.348594,775
2232,0.348750,775
2233,0.348906,3336
2234,0.349062,2311
2235,0.349219,1799
2236,0.349375,3848
2237,0.349531,3336
2238,0.349687,2824
2239,0.349844,1286
2240,0.350000,1032
2241,0.350156,3335
2242,0.350313,2055
2243,0.350469,1031
2244,0.350625,3847
2245,0.350781,1287
2246,0.350938,263
2247,0.351094,2823
2248,0.351250,2311
2249,0.351406,2055
2250,0.351562,2312
2251,0.351719,1287
2252,0.351875,3336
2253,0.352031,3336
2254,0.352187,1287
2255,0.352344,2054
2256,0.352500,1287
2257,0.352656,2824
2258,0.352812,262
2259,0.352969,775
2260,0.353125,1287
2261,0.353281,3335
2262,0.353438,263
2263,0.353594,2823
2264,0.353750,1031
2265,0.353906,1287
2266,0.354063,2311
2267,0.354219,2312
2268,0.354375,775
2269,0.354531,2055
2270,0.354687,1288
2271,0.354844,1288
2272,0.355000,2312
2273,0.355156,3335
2274,0.355312,3336
2275,0.355469,2055
2276,0.355625,1799
2277,0.355781,3335
2278,0.355938,2311
2279,0.356094,2823
2280,0.356250,1031
2281,0.356406,1032
2282,0.356563,2823
2283,0.356719,3080
2284,0.356875,1543
2285,0.357031,1287
2286,0.357187,1799
2287,0.357344,2312
2288,0.357500,3846
2289,0.357656,1032
2290,0.357812,2311
2291,0.357969,3335
2292,0.358125,3335
2293,0.358281,1799
2294,0.358438,1031
2295,0.358594,2056
2296,0.358750,1799
2297,0.358906,3335
2298,0.359063,3847
2299,0.359219,2055
2300,0.359375,1287
2301,0.359531,1287
2302,0.359687,2311
2303,0.359844,1800
2304,0.360000,2823
2305,0.360156,1287
2306,0.360312,2312
2307,0.360469,3335
2308,0.360625,2823
2309,0.360781,1288
2310,0.360938,3335
2311,0.361094,3079
2312,0.361250,263
2313,0.361406,3335
2314,0.361563,3335
2315,0.361719,1288
2316,0.361875,2056
2317,0.362031,2824
2318,0.362187,2055
2319,0.362344,3847
2320,0.362500,1031
2321,0.362656,2312
2322,0.362812,2823
2323,0.362969,2824
2324,0.363125,775
2325,0.363281,2056
2326,0.363438,3847
2327,0.363594,2056
2328,0.363750,2312
2329,0.363906,2823
2330,0.364063,2311
2331,0.364219,2311
2332,0.364375,3079
2333,0.364531,2055
2334,0.364687,2824
2335,0.364844,2055
2336,0.365000,2055
2337,0.365156,1798
2338,0.365312,2312
2339,0.365469,3079
2340,0.365625,1032
2341,0.365781,3336
2342,0.365938,1800
2343,0.366094,3335
2344,0.366250,3848
2345,0.366406,1799
2346,0.366563,2055
2347,0.366719,519
2348,0.366875,2311
2349,0.367031,2312
2350,0.367188,775
2351,0.367344,1799
2352,0.367500,3848
2353,0.367656,775
2354,0.367812,775
2355,0.367969,2055
2356,0.368125,2312
2357,0.368281,1799
2358,0.368437,1287
2359,0.368594,2824
2360,0.368750,1032
2361,0.368906,2055
2362,0.369063,775
2363,0.369219,2312
2364,0.369375,1287
2365,0.369531,2312
2366,0.369688,3335
2367,0.369844,1287
2368,0.370000,1799
2369,0.370156,3079
2370,0.370312,3847
2371,0.370469,3592
2372,0.370625,3079
2373,0.370781,2056
2374,0.370937,2311
2375,0.371094,1799
2376,0.371250,1031
2377,0.371406,3335
2378,0.371563,3335
2379,0.371719,3591
2380,0.371875,2311
2381,0.372031,519
2382,0.372188,2824
2383,0.372344,3846
2384,0.372500,1287
2385,0.372656,2312
2386,0.372812,775
2387,0.372969,1032
2388,0.373125,2312
2389,0.373281,2824
2390,0.373437,775
2391,0.373594,3847
2392,0.373750,1031
2393,0.373906,1287
2394,0.374063,1286
2395,0.374219,2312
2396,0.374375,2311
2397,0.374531,3848
2398,0.374688,2311
2399,0.374844,3336
2400,0.375000,3336
2401,0.375156,3848
2402,0.375312,1288
2403,0.375469,3078
2404,0.375625,1799
2405,0.375781,1288
2406,0.375937,2824
2407,0.376094,3336
2408,0.376250,2311
2409,0.376406,775
2410,0.376563,1032
2411,0.376719,2056
2412,0.376875,3335
2413,0.377031,1799
2414,0.377188,1544
2415,0.377344,2567
2416,0.377500,3080
2417,0.377656,2312
2418,0.377812,1287
2419,0.377969,1031
2420,0.378125,775
2421,0.378281,775
2422,0.378437,2312
2423,0.378594,2311
2424,0.378750,2312
2425,0.378906,3335
2426,0.379063,2568
2427,0.379219,3078
2428,0.379375,3080
2429,0.379531,2823
2430,0.379688,3079
2431,0.379844,1287
2432,0.380000,2312
2433,0.380156,2823
2434,0.380312,3335
2435,0.380469,2823
2436,0.380625,2312
2437,0.380781,1287
2438,0.380937,1288
2439,0.381094,3848
2440,0.381250,3336
2441,0.381406,3336
2442,0.381563,2311
2443,0.381719,1287
2444,0.381875,1287
2445,0.382031,1287
2446,0.382188,1032
2447,0.382344,2311
2448,0.382500,1031
2449,0.382656,3336
2450,0.382812,1800
2451,0.382969,3336
2452,0.383125,1287
2453,0.383281,2312
2454,0.383437,3847
2455,0.383594,1543
2456,0.383750,2824
2457,0.383906,1800
2458,0.384062,1799
2459,0.384219,774
2460,0.384375,2823
2461,0.384531,775
2462,0.384688,2311
2463,0.384844,1288
2464,0.385000,2312
2465,0.385156,3080
2466,0.385313,1288
2467,0.385469,1287
2468,0.385625,1287
2469,0.385781,2823
2470,0.385937,3335
2471,0.386094,1799
2472,0.386250,3335
2473,0.386406,1800
2474,0.386562,2311
2475,0.386719,3078
2476,0.386875,3335
2477,0.387031,3335
2478,0.387188,1288
2479,0.387344,2312
2480,0.387500,1031
2481,0.387656,1031
2482,0.387813,2055
2483,0.387969,3080
2484,0.388125,2823
2485,0.388281,1798
2486,0.388437,1288
2487,0.388594,3078
2488,0.388750,3335
2489,0.388906,2312
2490,0.389062,2055
2491,0.389219,1031
2492,0.389375,2055
2493,0.389531,3334
2494,0.389688,3079
2495,0.389844,3080
2496,0.390000,2822
2497,0.390156,1799
2498,0.390313,2056
2499,0.390469,1799
2500,0.390625,3335
2501,0.390781,3336
2502,0.390937,1798
2503,0.391094,2056
2504,0.391250,1288
2505,0.391406,1287
2506,0.391562,2312
2507,0.391719,1287
2508,0.391875,1031
2509,0.392031,3335
2510,0.392188,3336
2511,0.392344,2311
2512,0.392500,3335
2513,0.392656,2312
2514,0.392813,1288
2515,0.392969,2567
2516,0.393125,3336
2517,0.393281,3079
2518,0.393437,2055
2519,0.393594,1031
2520,0.393750,3079
2521,0.393906,1799
2522,0.394062,2312
2523,0.394219,1031
2524,0.394375,2824
2525,0.394531,3080
2526,0.394688,3080
2527,0.394844,1287
2528,0.395000,2311
2529,0.395156,1031
2530,0.395313,2055
2531,0.395469,2312
2532,0.395625,2824
2533,0.395781,2055
2534,0.395937,2311
2535,0.396094,3335
2536,0.396250,2311
2537,0.396406,3336
2538,0.396562,264
2539,0.396719,2056
2540,0.396875,1032
2541,0.397031,2312
2542,0.397188,2310
2543,0.397344,3335
2544,0.397500,3336
2545,0.397656,3079
2546,0.397813,3335
2547,0.397969,2824
2548,0.398125,1031
2549,0.398281,3335
2550,0.398438,1287
2551,0.398594,2056
2552,0.398750,3080
2553,0.398906,1799
2554,0.399062,3334
2555,0.399219,2823
2556,0.399375,3080
2557,0.399531,2823
2558,0.399687,2055
2559,0.399844,1288
2560,0.400000,1287
2561,0.400156,1287
2562,0.400313,2312
2563,0.400469,1287
2564,0.400625,3335
2565,0.400781,1287
2566,0.400938,1543
2567,0.401094,2312
2568,0.401250,776
2569,0.401406,775
2570,0.401562,3335
2571,0.401719,3079
2572,0.401875,775
2573,0.402031,3336
2574,0.402187,3079
2575,0.402344,2055
2576,0.402500,2824
2577,0.402656,2311
2578,0.402813,2312
2579,0.402969,2055
2580,0.403125,2312
2581,0.403281,1287
2582,0.403438,3079
2583,0.403594,3079
2584,0.403750,776
2585,0.403906,1288
2586,0.404062,2312
2587,0.404219,3079
2588,0.404375,3848
2589,0.404531,1288
2590,0.404687,3848
2591,0.404844,1031
2592,0.405000,3335
2593,0.405156,2312
2594,0.405313,1800
2595,0.405469,2823
2596,0.405625,1544
2597,0.405781,3848
2598,0.405938,2311
2599,0.406094,1031
2600,0.406250,2055
2601,0.406406,1032
2602,0.406562,1288
2603,0.406719,3336
2604,0.406875,3336
2605,0.407031,2055
2606,0.407187,3336
2607,0.407344,2311
2608,0.407500,3335
2609,0.407656,2823
2610,0.407813,775
2611,0.407969,775
2612,0.408125,3336
2613,0.408281,1799
2614,0.408438,2823
2615,0.408594,1543
2616,0.408750,1799
2617,0.408906,1799
2618,0.409062,2056
2619,0.409219,3079
2620,0.409375,1799
2621,0.409531,2312
2622,0.409687,1031
2623,0.409844,1288
2624,0.410000,2311
2625,0.410156,3336
2626,0.410313,3335
2627,0.410469,3336
2628,0.410625,3079
2629,0.410781,2824
2630,0.410938,3336
2631,0.411094,519
2632,0.411250,3336
